Question_darija_processesd,Answer_darija_processesd,Category
من تلتيام وانا كانحس بخدرا ف صبعي الوسطاني فالليد ليسري. ولا كايكون عندي شي اعراض اخرين. عمري 27 ووزنيتي 77 كيلو,شحال هادي ونتا كتحس بهاد الشعور؟ وشنو هو نوع الخدمة لي كادير؟ واش كاين شي مشكل فالعقل؟,Neurology
عندي وجع فجهة وحدة من راسي، كاينة شي ضربات كهربائية كايتحركو بين الحين والآخر، كايديروها ملي كايدوزو على الحاجز. هاد الشي كايزعجني وخاصني ناخد مسكنات باش نحلو، ولكن كايتعاود. هادي تلت أيام وانا عندي التهاب...,غالبا راه التهاب عصبي فالراس، من بعد ما يتلاشى الالتهاب غادي يرجع لحالتو الطبيعية,Neurology
السلام عليكم. واش كاين شي علاج نهائي لباركنسون؟ فين كاينين بلايص العلاج؟ شحال كيسوى العلاج؟ شكرا.,كاينين دابا طرق جديدة لعلاج مرض باركينسون، كايتضمنو العلاج بالجينات والخلايا الجزعية، وهاد العلاج متوفر فمستشفى ميريكاني فباريس، واللي غالي بزاف.,Neurology
شنو سبب هاد الصداع المفاجئ ف الجيهة ليمين ديال راسنا؟ كايجي قاصح و كايمشي و كايبان و كايمشي و ماكاينش شي دوا ليه,كايقترح قياس ضغط الدم و راديو الأشعة السينية ديال الراس والجها ديال القلب باش يعاوننا نفهمو الحالة ديالك و يوصي بالدوا,Neurology
شنو هو أحسن علاج ل التهاب العصب الوركي,خاصك تاخد دوا ديال الباسط ديال العضلات بحال تنيدازين 4 مجمو فكل وجبة مع كبسولة ديال ديكلوفينات الصديوم لمدة طويلة. كبسولة ديال ديكلوفينات الصديوم خاصك تاخدو بعد الغدا كل نهار مع متابعة بجلسات ديال العلاج الطبيعي.,Neurology
عندي رعشة ف الجفن السفلي دليمن و رعشة فاليدين و الراس ديالي كايدير ليا الصداع هادي خمسة دالايام. واش يمكن يكون هادشي بسباب شي مرض دالعصب؟,السبب أكيد هو الإدمان على ممارسة العادة السرية، خاصك توقفها باش تنسى هاد الأعراض,Neurology
واش كاين شي علاج لمرض التصلب اللويحي؟ واش كاين شي ضرر من دوا سميتو جلينيا؟ واش كاين شي علاج لهاد المرض؟,ماكاينش دابا شي علاجات أخرى غير الانترفيرون والادوية المكملة، والا فالأمل فالعلاج بالهندسة الوراثية ولا العلاج بالجينات. كاين غير 5 دالخطوات كيديروهم فالتجريب على المرضى اللي باغيين يتطوعو.,Neurology
عندي ولد عندو 9 سنين. كيعاني من ألم ف راسو متكرر تقريبا مرة فالشهر لمدة قصيرة. درنا ليه فحص الدم هادي 3 سيمانات هادي. البارح صيفطناه لإستشاري ديال الأعصاب.,كيعطي راسو للطبيب باش يدير ليه راديو ديال الدماغ باش يشوف الحالة ديالو و يقدر يبدل ليه الطبيب ولا يبقى هو هكاك,Neurology
كنت فحادثة سير خايبة ف صغري وانا كانطلع فالدروج و فجأة شفت كلب قدامي و الصاعقة د الصرخة اللي نزلات مني خلاتني نعييت ماياخد عامين باش نرجع النضرة ديالي و ولات عندي شي حركات اللي ماعمرني درتهم...,هاد لعلاج كايتدار ب الدوا ديال لعضم و كاينين خيارات اخرى مزيانين,Neurology
السلام. عندي وجع ف الانف وجبهتي و راسي هادي عام و نص. شنو السبب؟ شكرا.,كاين احتمال أن عندك التهاب الجيوب الأيضمي. إلا ما تلقيناش سباب ثانوي للصداع، يمكن يكون الصداع التوتري ولا الشقيقة هو السبب. أحسن حاجة هي تمشي تشوف شي طبيب باش يتأكد السبب.,Neurology
والدي عندو سنان تقيلين و كيهضر بزاف، ولكن ماعندوش شي مرض ف راسو ولا ف جسمو، وماعندوش شي مشكل ف عينو. كاينين بزاف د الطرق اللي ممكن نديروها، بحال تصوير الراس، ولكن ماكاينش شي حاجة اللي غادي تصلح هاد المشكل.,كايقتارح يدير راديو الأشعة السينية للراس,Neurology
واحد الشخص عندو صرع جزئي، دار تخطيط للمخ ودار جوج عمليات، وحدة فعمرو ست سنين وحدة دابا عندو 19 عام، راه دازت أكثر من خمس شهور وما دارش العملية الثانية، ولكن خايف يستعمل العلاج ديال إيبيتام.,كايقتارح باش تبقا تداوي وتبع العلاج وترسم ليه لعضم ديال لبياس,Neurology
شنو سبب هاد الصداع لي كايوقع بزاف؟ وشنو هو العلاج لي ما كيأثرش على الرضيع؟,كايقترح يقيس الضغط، يدير راديو الأشعة السينية، ويشوف الكتلة العظمية، ويشوف نسبة فيتامين د وكالسيوم فالدم، ويدير رسم بالكمبيوتر باش يشوف حالتك ويقترح العلاج,Neurology
السلام عليكم. عندي 28 عام و كايعانيو من الصداع. شفت طبيب و عطاني دوا ديال 500 غرام. ولكن مازال كايعاني من التعب والصداع. دابا عندي صداع آخر. الله يرحم الوالدين.,عافاك دير تحليل ديال نسبة الديباكين ف الدم قبل من الجرعة بساعة، وعاود عافاك صيفط لينا النتائج.,Neurology
أهلان، راه كانحرق راسي بالليل. خاصني نشوف شي طبيب.,بالتأكيد خاصك تتصل بمراجعة طبيب نفساني باش نوصيوك تتواصل معانا للاستشارات الخاصة بموقع الطبى باش تشرح حالتك النفسية وتوصل للتشخيص النهائي لسبب الارق ووصف العلاج المناسب مع متابعة حالتك حتى الشفاء التام إن شاء الله.,Neurology
إلا كان الفك السفلي متراجع شوية، واش هادشي كيأثر على الكلام؟ أنا سولت واحد الطبيب كبير فالولايات المتحدة، وگال بلي ما كيأثرش على والو.,إلا كان النطق ديالها ماشي صحيح، راه كاين شي خطأ فشي حروف، ولكن ماكايسببش مشكل فالهضرة.,Neurology
عندي التهاب فعصب السابع هادي شهر، خديت الدوا و درت العلاج، ولكن هاذي تلتيام بديت كانحس بشي ريجعة قاصحة ف ودنيا ملي كاندوي ولا كانطبق الفم,كايقترح باش تاخد الاذن الوسطى والاتزان، و تاخد رأي الطبيب ديال السنان باش تاخد معلومات اكثر على الموضوع,Neurology
المرا ديالي كتعاني فاش كتكون مجروحة بزاف ولا مقلقة من واحد النوبة غريبة، كتحس براسها مقلوب وكتحس بشي حاجة خايبة فالجسم كامل، وكتحس راسها مقلوب وكتعاني باش تحرك حتى عضو فالجسم ديالها.,عافاك شوف الطبيب ديال القلب و دكتور الأعصاب باش يشوف شنو كاين و يعرف السبب,Neurology
سلام عليكم. كنعاني من صداع قوي كيبدا من تحت الرقبة و كايمشي للسما. واش ممكن يكون هادشي عادي ولا كايكون بسباب الخدمة ولا الضغط؟,واقيلا راه الناتيجا ديال جهد كبير، والاكين حسن ليه يصايي تصاور ديال لاروسا و يوريها ليه,Neurology
كايضرني الم و الحريرة بزاف فليد ليسري ملي كايدير شي حاجة صعيبة، و كايبان ليه غير فوطة و سخانة. هاد الألم كايبان ليه من لداخل و كايبان بزاف.,كايقتارح تدير واحد ل پيسيتا ديال لعضم ف يدّي اليسريا باش نعرفو لحالا ديالك و نوصيو علا لعيلاج لي خصّك تاخدو.,Neurology
تسبب ليا التهاب فالعصب السابع و صابني تشنج فالجهة اليمينية ديال وجهي. الطبيب ديالي قال ليا ناخد كورتيزون لمدة 10 أيام، 5 ملغم فالنهار.,طبعا، خاصك تاخد تلاتة دالجراعات باش مايوقعش شي رد فعل جانبي قوي,Neurology
كنت كندير عملية باش نصلح العمود الفقري ديالي، ولكن كان عندي ورم فالفقرات العظمية، وهاد الشي أدى لعدم الاتزان وضعف فالعضلات ديال الرجلين وحتى القدرة على التحكم فالبول والبراز. بقيت كندير العلاج الطبيعي لمدة عامين، ولكن مازال ما تحسنش الوضعية.,"للأسف، بحال لي كاتعرفو، ماكاين غير المحاولة بالعلاج الطبيعي
ويمكن تتحسن",Neurology
واش ممكن نستعمل الريالوكين ديال 2 فالمية باش نفتح البكارة حيت عندي مشكل فالمهبل وخاصني نتعالج التشنج,المفترض أنه دوا ديال النعاس، وكيخدم باش يفتح المجاري، ولكن إلا كان صعيب فتح المجاري، من الأحسن تشوف شي طبيب.,Neurology
واحد النهار جاني خبر مقلق بزاف، بلي فمي بدا كايعوج عليا، و حسيت براسي ثقيل بزاف. من بعد جيت ابكي، و كنت كانهضر، و فمي بدا كايعوج. حسيت بلي عندي نغز فالكفين، و نهار كامل كنت كنضحك.,ممكن يكون عندك اعصاب ولا نفسي. خاصك تمشي عند طبيب اعصاب باش يشوف حالتك.,Neurology
شنو هو السبب الحقيقي ديال الصراع، وشنو هوما الأسباب اللي ممكن توضحو السبب الحقيقي ديال الصراع؟,إلى كان السبب السرعة، راه مرض كيجي من زيادة ولا عدم انتظام فالشحنات الكهربائية فالدماغ. كاين بزاف دالأسباب، منها الوراثة، ولا التهاب الدماغ، ولا الضرب على الراس.,Neurology
واحد النهار بدا كايدير ليا البرد فصبعان يدي ليمنين، غير جوج صباع فالوسط ولاو بيضين، من بعد ولاو صباع كاملين بيضين، ومن بعد ولاو زرقين، وداكشي ولا خضر، وداكشي بقا كايطول ساعة تقريبا.,خاصك تستعمل موسعات وعائية من زمرة الاملودبين ولا النفيدبين بعد ما تشاور مع طبيب المفاصل,Neurology
إلا مسكتي شي عصير ولا شي حاجة أخرى، غادي ترتجف حتى لو مسكتتي شي حاجة أخرى غادي ترتجف. هاد الشي كايعاني منو أبي. الجواب ديالو يقدر يرجع الطبيعي أكثر من الأول.,ماتعانيش منو هو مرض الرهاب الاجتماعي. ننصحك تتواصل معانا باش تاخد استشارات خاصة للعلاج.,Neurology
عندي مشكل فالسنان، كايتكرر فالصبع ديالي و فالصدر ديالي ملي كنحرك راسي، و ملي كنحس بالصداع. واش هادشي طبيعي؟,خاصك تدير فحوصات دم باش تشوف واش كاين شي حوايج معينة فالجسم، وإلا ما لقيتيهمش طبيعي، خاصك دير راس ديال راسك.,Neurology
سميتي نورا، درت عملية باش نحيّد لعصا من رجلي ليمنية. من بعد العملية، رجلي بقات بحال كيف كانت، ما بقاتش كتحرك وكتنمل. هادا هو النهار الخامس.,ممكن يبقى التمدد شي وقت كيتبع عملية التخدير، وخاصو شي شهور باش يتحسن، ولا ماكاينش داعي للقلق.,Neurology
الوالد ديالها كيعاني من الم منذ شهرين، وكيحس بيه غير ملي كيقدر ينوض ولا يوقف من الكرسي. عندو 36 عام و نسبة الأملاح ديالو 6.1.,خاصو يتدار ليه مراجعة خاصة من عند طبيب مختص، مع تحاليل الدم، تحاليل السكر فالدم، تحاليل الروماتيزم، و تحاليل كيمياء الدم. وخاصو يتفحص المريض و يتحدد السبب.,Neurology
كان عندي صداع قوي فالجهة اليسرى ديال راسي، ويدّي ورجلي اليسرى. كان عندي حتى ارتفاع في الضغط والارتجاع والقولون.,كاين لي كيحاول يصور المخ. هادشي ممكن يكون بواحد الدوا ديال فيتامينات مزيانة للأعصاب، وحتى شي حاجة باش يحيد الخداع و النميمة و شي دوا ديال السكر ديال الدراري.,Neurology
"عندي رعشة في اليدين والراس وحتى رجلي وراه درت تحليل الدم وخرج ايجابي وطبيعي، وراه شفت طبيب الأعصاب وعطاني دوا سميتو ""بروبيلوت"" 40 مل و...",الله يشفيك. اللول هو نديرو رينين لموغناطيس ديال دماغ و نعاودو نشاركو معانا الناتيجا,Neurology
درت تخطيط للدماغ والحمد لله سالا مزيان، ولكن يمكن يكون السبب نفسي حيت ظروفي صعيبة. ولكن هاد الشهر اللي فات، جاتني صداع قاتل ف راسي، من بعد داكشي وقع ليا...,إيوا إذن، إلا كان التخطيط عادي، راه ماكيعانيش المريض من مرض الشحمة,Neurology
كان عندي صداع قاتل، و من بعد شي شهور د الراحة، درت راس تصوير و لقيت عندي صداع قاتل و كيس ف الدماغ، حجمو 1 سم ف 5.,"ماتخافش, ماكاينش داعي تقلق, ولكن خاصك تمشي عند الطبيب بانتظام باش تشوفو",Neurology
كنحس براسي كناكل غير ديك البذات، وانا عارف بلي عرضت على الطبيب بزاف ديال المرات، ولكن آخر واحد قال ليا راه تعافيتي، ولكن ماقالش ليا وقتاش نوقف الدوا ونتخلا من هاد العذعات اللي كاينين ف راسي.,أحسن حاجة ترجع للطبيب لي كان كيدير العلاج وتبع ليه العلاج مزيان,Neurology
دابا جاني مشكل جديد ف الدار، وكنت كانخد دوا ديال هاد المشكل من عام وامبارح جاني نفس المشكل، ولسوء الحظ الطبيب لي كيتابع الحالة ديالي مشا ف سفرة وماكاينش ف الوصيلة باش يتواصل معايا...,أحسن حاجا تاخد علاج من عند شي طبيب عقلاني و تدير ليه راديو ديال راسو,Neurology
كايضرني رجلي بلمرارة,نصحك تدير اشعة الراديو للمفاصل القطنية وترسم عصب فالكيبورد على الأعصاب ديال الرجلين والرجلين و اتواصل معانا باش تاخد استشارة خاصة. غادي نعطيوك النتائج ونتبعو ليك باش نعرفو شنو هو أحسن علاج ليك ونتأكدو بلي راك بخير. الله يسهل عليك.,Neurology
شنو اللي كيسبب النميل فالصبعان ديال الرجل بعد النعاس,نوصيوك تدير رسم عصب بالكمبيوتر باش تخرج من هاد الحالة. خاصك تاخد تحليل حمض يوريك بالدم وتواصل معانا باش تاخد استشارة خاصة. غادي نقيمو حالتك ونتكلمو على العلاج المناسب ونتابعو التقدم ديالك حتى تفيق من الحالة. الله يسهل عليك.,Neurology
بابا عندو 65 عام و كيعاني من النسيان ديال الحوايج والمشاكل ديال الصحة. ما كيقدرش ينسا شي حاجة ولا يرضى يمشي للطبيب ويهضر فشي موضوع وعاودو. شي مرات كايقول شي حوايج.,خاصك تشوف شي طبيب ديال لعقل. كاينين بزاف د لعراق لي يقدرو يسببو هادشي فهاد لعمر.,Neurology
عمر هاد الراجل 77 عام وكيعاني من صداع قوي. مشى عند الطبيب هاد الشهر وطلب راديو باش يشوف شنو واقع ليه. ملي جاو النتائج، دار البانادول.,كايقتارحو باش تضبط ضغط الدم مع منظم دالدم و تبع ريجيم نافع,Neurology
والدتي جاتها جلطة دماغية خايبة، والنتائج ديال التصوير ديال الدماغ ما بينوش شي نزيف، ولقاو فيها ضعف فالحركة ديال اليد اليمنى، وخاصها توقف على رجليها، وصعيب ليها تهضر، ونهار جوج، ما بقاتش عندها حركة فاليد ديالها.,كايقتارح يحجزو لمريضا لواحد السكوتة دماغيا حيت لحالا جايحة أُ محتاجا لعياما مركزا,Neurology
السلام عليكم. عافاك خليها فالصبيطار. راه كاينة شي حاجة ماشي هي هاديك. الضيق تنفسو تزاد و كاينة علامات ديال السكتة دالدم و حتى فقدان القدرة على الكلام. فالمشفى ما دارو والو ليه.,ماتخافش من هاد النوبات ديال التوتر. خاصك تطلب من الزميل ديالك شي طبيب نفسي.,Neurology
عندي 20 عام وبديت كانحس بالصداع طول الوقت، غير ملي كناكول ولا كننعس. ماعنديش النعاس ولا النعاس ديال الليل. وهاد الصداع كيخليني نحس بالتوتر. الطبيب قال ليا راه عندي صداع مصاحب وخاصني ناخد شي دوا.,مرحبا بيك. تبع التعليمات ديال الطبيب ديالك بعد ما تكون عارف حالتك وفهمتي التشخيص المناسب.,Neurology
كان عندي 16 عام، زميلي ضربني بعظام يديه على راسي 6 ولا 7 مرات فمنطقة وحدة. حسيت بالدوخة لمدة جوج سيمانات. ما وقع حتى شي غيبوبة، غير انتفاخ صلب.,كانقتارح تدير راديو د الراديو للمخ و تبع لينا النتائج باش نعرفو الحالة ديالك و نوصيوك بالعلاج,Neurology
واش كاين شي واحد عندو نفس المشكل ديال عدم التركيز ولا النسيان؟ مثلا، كايتنسى شي حاجة من نهار ل 3 أيام، بحال إلا كايتنسى ياخد الدوا ديالو. وحتى فالحالة الثانية، كايتعلم السياقة وكايتأزم.,خاصك دير الرياضا النهار كامل و تاكل ماكلة مختالفا و تاكل العسل ديال النحل حيت كايعاونك فالاستماع,Neurology
سلام عليكم. كنت كنستعمل فينيكس ٧٥جم لمدة شهرين، صباح وليل. من بعد شي تلاتة د السمانات نقصت الجرعة ديالها غير للصباح، ومن بعد وقفت على الدوا نهائيا.,كايقتارح يرجع للطبيب ويمشي يتعالجو لمدة تلات شهور متابعا مع الملاحظة ديال نسبة الدوا فالدم,Neurology
شنو سبب وجود الم فالمستوى العالي ديال الراس، بالرغم من أن عندو ضعف فالرؤية؟,كيتنصح باش تشرب بزاف ديال الما، تجنب العصبية الزايدة، دير فحص الدم، و قياس الضغط، و إلا بقات عندك الصداع من بعد العلاج، كينصحو بعمل صورة مقطعية. فالبداية ممكن تاخد الباراسيتامول 500 مجم.,Neurology
"تتاخد امي دواء ديال ""هيوثال"" باش تعالجها المعدة هادي تلت شهور. اليوم جاتها رجفة وبرود شديد فطرف رجليها ورجليها وبدات كتنفخ من فمها بيض. واش هادشي بسباب هاد الدوا؟",البرودة فالطرف يقدر يكون بسباب الدوا. خاصك تشوف المعالج.,Neurology
عمري 25 عام ملي طاح عليا واحد المترين، ربما أسعفوني لأهلي للمستشفى وجروني للتحاليل. كانت سليمة. سولوني واش ممكن تكون الضربة مؤذية للراس ولكن ماتظهروش آثارها فالابعد سنين؟ يعني ماتظهرش الأضرار ديالها على المدى البعيد.,غاليبان ماغاديش تسبب ليك شي مشكل، من غير إلا كنتي حاليا بصحة مزيانة.,Neurology
واش كاين شي علامات ديال مرض الوهن العضلي الوبيل فاش كايتدار ليك الرنين المغناطيسي؟ و كيفاش نعرف واش عندي هاد المرض؟,لا، ما كيبانش في التصوير ديال الدماغ. خاصك دير تحاليل الدم و يمكن تحتاج لفحص إضافي ديال السيريلوز اللي كيديرو الطبيب ديال الأعصاب فالسبيطار.,Neurology
انا وقعات ليا واحد الحادثة ووقعات ليا واحد الحاجة خايبة فالعين ديالي، كاين واحد الكسر كبير، ضيعت الشم، و مشيت عند طبيب، و قال ليا ما عرفش واش تقطعات ليا الأعصاب ولا لا، و هادي خمس شهور دابا و مازال ماعنديش الشم.,إلا كان العصب تالف، من الأحسن ما نحاولوش نعاودو نشغلوه,Neurology
عافاكم عاونوني، راني مصاب ب PTSD. كاين واحد الشعور سلبي و المرض كيزيد و النوبات ولاو كيتكررو بزاف و الطبيب مابغاش يعطيني شي دوا.,خاصك تشوف شي طبيب نفسي باش تحدد التشخيص والعلاج المناسب والمدة ونسبة النجاة,Neurology
واش هاد الأعراض كايعنيو نزيف ولا التهاب ولا تشنج؟,ماتعانيش من أعراض بحال هاد الأعراض نفسوجسيمة، بحال اضطراب القلق والتوتر والانفعا الزايد,Neurology
تعرضت للتشويه العصبي السابع هادي خمس سنين ومازال ما تعافيتش، بالرغم من العلاج الفيزيائي. كاين واحد الضرر خفيف فالمنطقة ديال الابتسام، مع الدموع فالعينين. واش كاين شي أمل في...,سمح ليا، ماكاينش أمل غير إلا بقى العياط، يمكن ليه يراجع طبيب التجميل.,Neurology
واش ممكن واحد اللي عندو ضغط دم عالي و دخل فغيبوبة يفيق من بعد سيمانة، إلا كان عندو مشاكل صحية فالكبد و عندو 56 عام؟,كايعتامد علا لحالا سيكسييا ديال بنادم أُ كتختالف من حاد لاهد أُ صعيب تنبّء بها,Neurology
من شحال هادي، كنت مزيان و دابا ولا عندي مشكل. دابا ماكانقدرش نبقى فايق بزاف و كانحس بالاعصاب و الراس ديالي كايضرني.,اللي كاين هو النتائج ديال سلوكنا فالحياة السرية، والله يهدي.,Neurology
جراح المخ والاعصاب وصفلى أريثركس 200 مجم قرص واحد بعد الفطور. كاتب سيليبورج 200 مجم مرتين بالاضافة ل بريجدين ايبكس 50 مجم مرتين وقالى كمل الادوية، واش كاين خطر ف 600 مجم سيليكوكسيب ف النهار؟,بالتأكيد، هاد الجرعة عالية بزاف. الجرعة الموصوفة هي من 200 ل 400 ملجم فالصباح و فالليل باش نتفاداو أي مضاعفات فالمعدة.,Neurology
السلام عليكم. بنتي عندها 8 سنين وكتعاني من حالة صراع غير من بعد ما تنعس من 12 حتى ل 15 دقيقة. الطبيب ديالها وصفاتو لها دوا ولكن مازال الحالة ديالها كتعاود كل 10 أيام. شنو هو العلاج المناسب ليها؟,العلاج كيختالف من حالة لحالة، على حساب التشخيص. كنصحو بالمشورة مع طبيب مختص.,Neurology
راني عملت رسم عصب هادي 3 شهور، والطبيب گال ليا راه كاين سرعة فوصول العصب للعضلات اللي ما رجعوش بعد 6 شهور من الاصابة، ومن بعد عملت العملية.,كملت العلاج، دوزت جلسات ديال العلاج الطبيعي، وعاود رسمت العصب بعد تلات شهور باش نشوف الحالة ديالي.,Neurology
السلام عليكم؟ عندي الصداع العنقودي الشديد المزمن. شنو هو أحسن علاج؟ بغيت نعرف أسرع طريقة باش ننقص من الألم حيت كيخليني نفكر نقتل راسي. شكرا بزاف.,هاد الأفكار المزرية ديال الانتحار، كنصحك تستعمل ليركا ديال 150 ملجم كبسولة ملي تكون عندك الصداع.,Neurology
واحد من أقربائي عندو ورم فالدماغ داروه إشعاع و بدا كيتعافى ولكن من بعد ما خلص العلاج بدا كيتدهور,الطبيب غادي يفحصك باش نعرفو شنو هو الورم وشنو نوعو وشنو هي المرحلة ديالو. من بعد غادي نقترح عليك تشوف شي طبيب اعصاب باش يتكلف بالعملية.,Neurology
ماحسيتش بالصبع الثاني والثالث من بعد الصبع الصغير فاليد اليسرى، وكنحس بالتنميل فالباطن ديال اليد. خدمتو بقالي 45 يوم ودرت 8 جلسات ديال العلاج الطبيعي.,كايقتارح تدير رسومات ديال العضلات والاعصاب فاليد اليسرى و صيفطها لينا باش نقيمو الحالة ديالك و نوصيوك بالعلاج,Neurology
كنت غادي فحالي بسرعة بزاف، و دغيا شديت الشاحنة الصغيرة من اللور، صدقني راسي مع السقف ديالها، خرج ليا الدم، و حسيت براسي سخون بزاف. مشيت للصبيطار و دارو ليا فحص كامل، و سدّو الجرحة، ولكن من بعد يوم...,كايقتارح يدير شي أشعة د الراديو للمخ باش يعاوننا نعرفو لحالة ديالك و يورّي شنو خاصنا نديرو ليك,Neurology
ماقدرتش نوقف ولا نحرك راسي بلا عكازي، و ملي كنقلب عكازي كيتحركو، و ملي كنحاول نوقف كنبقى كنهضر و كنحس بشي ألم فالعضلات ديالي.,كايقتارح تدير واحد لڤيرسيون ديال لاطراسيون ديال لسانك و غادي يعطيوك الناتيجا باش تقدر تقيم لقاوال ديالك و يعطيوك لوصيات ديال لعلاج,Neurology
كان عندي واحد النعاس قاصح بزاف، كان راسي مخدرة و مشلولة، بحال إلا كنت ناعس بزاف. ملي فقت، حسيت براسي ماشي مرتاحة، بحال إلا ما نعستش مزيان.,ممكن يكون من النظارات ولا من الضغط بزاف. كنصحو يمشي عند الطبيب ديال العينين.,Neurology
"مازال كانعاني من مشكل النسيان بزاف. كانبقاو غير كنشوفو وكنسمعو، ولكن راسنا مركزة معاه. كانقولو غير ""واش كاين هنا"" وكنشوفو فين حنا.",كينصح باش تدير تحاليل دالدم باش تشوف واش كاين نقص فالحديد ولا B12 ولا B9,Neurology
من نهار لبارح، كان عندي نغزات فجسمي كامل، بحال شي قطرات ديال الما كايتسقطو عليا... بلا حتى شي حمرة ولا شي حب الشباب، الطبيب ديالي كيضن بلي هادشي بسباب...,إمكان تكون بسباب نفسي بحال شي حاجا و كايتقتاراح يدير راس ديال رينڭ لواقيع باش يعرف علاش,Neurology
عندي شوييا ديال لعرق ف وجهي ملي كاندوي ولا كانضحك,مهم نعرفو منين بدات هاد الأعراض واش عندها شي علاقة مع شي مرض معين. هاد الأعراض ما كتعنيش بالضرورة أنه كاين شي مشكل، ولكن مهم نتشاورو مع شي طبيب نفسي باش نعرفو السبب الحقيقي.,Neurology
من نهار بديت كانحس بالدوخة مع اللسان مقلوب، بقيت مدة 4/5 ديال الليل. درت راسلي بالرنين و طلع عادي. هاد الشي وقع ليا تلاتة ديال المرات و دابا كانحس براسي مقلق.,كانقتارحك تشوف شي طبيب ف الجراحة ديال الفم والوجه والفكين باش يعرف علاش تسد لسانك ويهتم بيك,Neurology
وقال الطبيب كاينين جوج ترومات فالدماغ، ولو تحركو يقدرو يقتلوك، وفي الليل يجي والديني صداع قوي من السنان، عطيتو سبيروين، وقال الطبيب ماكاينش علاج، شنو الحل؟ عافاك رد.,كايقتارح رفع الأشعة المغناطيسية وتقارير الأشعة والتحاليل باش نقيمو الحالة ونوصيو بالعلاج,Neurology
عندي إصابة خطيرة فالمرفق ديالي واعصابي تقطعو، الطبيب ديالي گال ليا ماخاصنيش نجرأ، غير العلاج الطبي لمدة 18 شهر على الأقل باش يرجعو ليا الأعصاب ديالي...,إلا كانت الأعصاب مقطوعة، العلاج الطبيعي هو الحل، كيف ما بغا الطبيب ديالك,Neurology
عمر بنتي 19 عام، بدات هادي شي سيمانا كتحس بشي صعقة كهربائية ف رجليها، والى وصلات للرقبة وظهرها. دابا راه مشات عند طبيب اعصاب. شنو ممكن يكون مرضها؟ وواش كاين شي مرض...,هادشي يقدر يكون بؤرة فالصدر. خاصنا نديرو راسنا فحالة ديال السكر ونديرو تصوير راديو دماغ باش نعرفو,Neurology
كنحس بشي حكة ولا شي حركة ماشي مفهومة ف مؤخرا ديالي من لفوق وهادشي من نهار جاو هاد جوج ليوم... كايتلاشى شوية بشوية وعاود كايظهر وكنحس بيه معا نبض ديال قلبي,كايقتارح قياس ضغط الدم و راديو الأشعة السينية ديال الراس ديالك باش يقدرو يقيمو الحالة ديالك و يوصفو العلاج اللي خاصك.,Neurology
السلام عليكم. أنا عندي 32 عام. عندي مشكل فالجهة اليسرى من الوجه ما كتحركش مزيان بحال الجهة اليمنى. ما عمري شفت هاد المشكل قبل هادي 12 عام. واش كاين شي علاج؟,إقدر إكونو إلتيهاب ديال الديبار. تخصّك دير پيّاتيرون لفراجهوم,Neurology
عندي صداع يومي ملي كنوض من النعاس، وكيخليني ننعس غير ملي كاندير شي دوا ديال الألم. هاد الصداع كيبدا ملي كناكلو الفطور، وهادي مدة تمن سنين.,هاد الصداع لوقت طويل خاصك تشوف شي طبيب ديال الأعصاب، كنصحك تشوفو دابا,Neurology
واحد طاح من فوق شي قبة وضربو ضو خفيف ف راسو باش يشوف ليه دماغو، ولكن لقا دم كيتسرب من تحت الجمجمة ديالو من الماوس ديال العين اليسرى.,مايمكنش تنبأ، خاصنا نبقاو نتبعو لمريض ونديرو ليه تفتيشات منتظمة,Neurology
عندي ألم فالعصب الخامس وخاصني شي طبيب نفسي. دكتور ديال النيرونات وصاني شي دوا ديال الكوبال و النيرتون. بغيت نعرف واش هاد الدوا مزيان ولا كاين شي واحد آخر أحسن ليه.,هاد الدوا مزيان للصحة ديال العقل، ولكن للوجع كنصحك تاخد هاد العلاج: تيجريتول 200 مغ (كاربامازيبين) و ليريس (ليكر) 75 مغ.,Neurology
- شاب عندو 24 عام. من صغري كنت كنحس براسي (واعي) ملي كنكون معا راسي. بعد ما وقع ليا هاد الشي، بقيت عايش مزيان.,هادشي عادي أُ خاصنا نخدمو باش ماتفكرتش ليه,Neurology
جدتي عندها خمسين عام وكتقول بلي كتحس بمشاكل فالمعدة. يمكن تكون المصرانة، ولكن ما عرفناش السبب ولا العلاج. يمكن تكون عندها السكر ولا شي حاجة خرى.,هادشي خاصو يتحلّ بواحد الطبيب نفسي... والاكين يمكن نحتاجو ناخدو عينيها للدم باش نشوفو واش فيها لعاسين,Neurology
عندي صداع مزمن مع دوخة و غثيان شي مرات، و الصداع كايجي من وسط الراس و كايمشي ل عين و كانحس بدوار,كايقترح قياس ضغط الدم و تحليل صورة دم و راديو الأشعة السينية ديال الراس باش يقدر يوصف لينا الحالة ديالك و يحدد العلاج,Neurology
بنتي عندها 13 عام، جينا عندها جوج سنين باش نديرو ليها عملية باش نحييوها من بؤرة الصرع، والحمد لله دابا راها بخير. ولكن هادي شهرين هادي، جاتها انكماش فالعظمة ديال الجمجمة قريب الأذن اليسرى، وهادي غير...,كايقتارح يدير أشعة راديو للمخ والعظام ديال الجملة باش يعطيونا نتيجة تقييم الحالة,Neurology
